Vad är din nuvarande roll på din arbetsplats?,Vad är din lön?,Hur länge har du kodat professionellt? (i)
Full stackutvecklare,46000,7
Systemutvecklare,38500,10
Programmerare,38800,1.5
Data scientist,60000,4
Testledare,46000,6
Webbutvecklare,37000,7
IT ansvarig,33000,2
Frontend utvecklare (konsult),35000,2
Fullstack,30000,2.5
Senior Developer,42000,5
Systemutvecklare,32500,5
utvecklare,34200,2.5
business intelligence developer,31000,3
Kodknackare,50000,7
front / backend programmer,33000,1
Konsult. utvecklare .Net,40200,4.5
front end ,28000,1
Utvecklare,43500,9
Mjukvaruutvecklare,27000,1
Androidutvecklare,38000,4
Junior backendutvecklare,36000,3
Data Scientist,43000,1.5
,39800,13
Senior Software Developer,55000,17
Software Engineer,44500,10
Senior Utvecklare,47000,8
Data scientist,44000,3
Digital Producer,36500,5
Systemutvecklare,40000,5
Djangoutvecklare,49000,3
Systemutvecklare,61250,18
Senior utvecklare,47000,3.5
Junior data scientist ,34000,1
Senior technical advisor,90000,30
Frontend developer,43000,6
Senior Utvecklare,50000,5
Backend utvecklare,45000,7
Frontendutvecklare,37200,3.5
Software engineer ,52000,30
Webbutvecklare,49000,7
Systemutvecklare,55000,8
Frontendarkitekt,44000,16
Systemansvarig,57990,15
Systemutvecklare,45000,7
Utvecklingsingenjör.,40000,4
frontend utvecklare,35000,5
Systemutvecklare,37000,1
Data Analyst,38500,2
Software developer,202000,8
CTO Startup,35000,2
Fullstack,38000,5
Utvecklare / sysadmin,120000,10
Systemutvecklare,39000,11
Projektledare,41000,7
Webbutvecklare,25000,7
Systemutvecklare,34000,7
Frontendutvecklare,57680,2
Programmerare,50000,20
Technical Director / Systemarkitekt,47000,13
Chef och utvecklare,38500,10
IT Specialist Grundskola,51900,0.75
Front End utvecklare,53500,11
Frontendutvecklare/Teamledare,53600,22
Timanställd,24915,0.25
CTO,50000,8
Systemutvecklare,30700,2
HiQ,32000,0.6
Machine Learning Engineer,42000,2
"Data Scientist, analysera företagets datamängder",39000,0.5
Utvecklare (konsult),58000,4
Utvecklare,36500,2
Systemutvecklare/konsult,48000,8
Junior systemutvecklare,32000,1
Engineer,38500,4
Webbutvecklare,22500,3
Data scientist,52000,3
iOS utvecklare,40000,2
kodare,52000,10
System Arkitekt ,58000,18
Data Scientist / Machine learning consult,40000,1
Konsult,31500,0
Backend developer ,46000,9
Utvecklare,60000,25
Front end utvecklare ,35000,3
